article_id,n_chunks,mean_p_ai,median_p_ai,max_p_ai,share_ai_like,mean_words,mean_words_per_sentence
article_1569,5,0.99962366,0.99970347,1.0,1.0,92.4,23.1
article_1603,5,0.9996187,0.99998736,1.0,1.0,75.4,20.033333333333335
article_1382,7,0.99960846,1.0,1.0,1.0,75.0,19.357142857142858
article_1392,7,0.9995385,1.0,1.0,1.0,81.85714285714286,20.464285714285715
article_1449,8,0.9995362,1.0,1.0,1.0,64.75,16.1875
article_0591,5,0.999512,0.9999992,1.0,1.0,65.2,16.3
article_0579,8,0.9995053,0.9999915,1.0,1.0,71.625,18.5
article_0528,42,0.99948573,1.0,1.0,1.0,85.64285714285714,21.410714285714285
article_0025,11,0.9994793,0.99999994,1.0,1.0,60.90909090909091,15.227272727272727
article_0670,8,0.9994744,1.0,1.0,1.0,79.625,20.625
article_0665,8,0.9994743,1.0,1.0,1.0,65.0,16.25
article_0980,13,0.9994658,1.0,1.0,1.0,74.38461538461539,18.596153846153847
article_1224,6,0.99943256,0.9999999,1.0,1.0,70.66666666666667,17.666666666666668
